id_task	name	description	status	order	started	due	completed	id_project	id_scrumuser	id_sprint
80	Revisão Material para ministrar curso Geoserviços	Capacitação da INDE para a Secretaria de Planejamento do Estado de Sergipe	2		2018-03-07				10	
81	geoserviços baseados em rest por coordenação	Disponibilização de geoserviços baseados em rest por coordenação	2		2018-03-07	2018-04-30		11	8	
82	Criação de rotina de verificação do DBDG	Criação de rotina de verificação do DBDG	1		2018-03-07	2018-03-31		12	8	
83	Participação na Apresentação - Projeto Integração de dados da DGC - situação em 2017/2018	Participação	4		2018-03-08	2018-03-08			10	
84	Criação do backend para o controle de adesão	Criação do backend para o controle de adesão	4		2017-11-01	2018-03-29		10	8	
85	Criação do frontend do controle de adesão	Criação do frontend do controle de adesão	4		2017-11-01	2017-12-31		10	6	
86	Modificação no Hyper Resource para que aceite urls com final sem '/*'	Alteração da função AbstractResource >> attribute_functions_str_with_url_splitted_by_slash() para que aceite urls com final sem '/*'	4		2018-03-12	2018-03-12		9	5	
87	Modificação do Hyper Resource para compatibilização com Django 2.0	Consiste na modificação do Hyper Resource para que funcione com a nova versão do Django (Isto inclui modificação nos geradores de código, e eventuais códigos depreciados)	4		2018-03-13	2018-03-13			5	
88	Implementação de BD IBGE estatistica	criando banco de dados e alimentando o mesmo com dados baixados do IBGE estatisticas			2018-03-13				9	
89	Alimentar banco de dados Estatísticas para pratica de conhecimento adquirido	Aprendendo novas maneiras de implementar o banco de dados de maneira mais eficiente, como importação de arquivos.	4		2018-03-13	2018-03-16		8	9	
90	Criação de portal GGT	Criar portal GGT para exibir todos as aplicações que estão sendo desenvolvidas para acesso via portal de entrada tanto para backend quanto frontend.	1		2018-03-14	2018-03-28			6	
91	Avaliação do Tilemill  para a geração de estilos		2		2018-03-14	2018-03-20		11	8	
92	Treinamento básico em geoserver	Treinamento básico em geoserver	4		2018-03-15	2018-03-15			8	
93	Verificação de workstation	Verificação de workstation que está apresentando problemas técnicos	4		2018-03-15	2018-03-15			8	
94	Alteração no Hyper Resource para que retorne o cabaçalho 'access-control-allow-origin'	Alteração no Hyper Resource para que as requisições retornem o cabaçalho 'access-control-allow-origin' em todas as requisições GET e OPTIONS	4		2018-03-15	2018-03-15		9	5	
95	Modificação do Hyper Resource para que retorne GeoJson no caso de requisições para atributos geométricos	Modificação do método FeatureCollectionResource >> get_objects_serialized_by_only_attributes() para que retorne GeoJson no caso de requisições para atributos geométricos	4		2018-03-14	2018-03-14		9	5	
97	Reunião sobre mudança				2018-03-15	2018-03-15			8	
98	Inclusão no header  um tipo de mídia application/vnd.collection+json para classes de coleção	Inclusão no header  um tipo de mídia application/vnd.collection+json para classes de coleção	1		2018-03-20	2018-03-23		3	5	
99	Inlcusão no método options o @id de acordo com o tipo do recurso	Incluir no método options o @id de acordo com o tipo do recurso. Se for FeatureCollection ou Feature ou Geometry etc	1		2018-03-20	2018-03-23			5	
100	Generalizando views	Generalização das views de eixos de logradouro para que atendam a todas as outras cidades além de Goianira.	2		2018-03-20			1	7	
101	Passar funcionalidades feitas no Leaflet para o Openlayers	Passar funcionalidades feitas no Leaflet para o Openlayers	4		2018-03-16	2018-03-20		2	6	
102	Correção do Hyper Resource para requisição de imagem para coleção de unidades federativas	Correção do Hyper Resource para requisição de imagem para coleção de unidades federativas (atualmente esta sendo retornado um erro)	4		2018-03-21	2018-03-23		9	5	
103	Ajuste da BCIM com hiper serviço		4		2018-03-21	2018-03-21		3	8	
104	Ajuste do método Head para retornar o  mesmo conteúdo do headers do método Get	Ajustar o método Head para retornar o  mesmo conteúdo do headers do método Get	1		2018-03-26	2018-03-27		3	5	
